"year","group","count"
"2013","White","13917381"
"2013","Black","3442795"
"2013","Multiracial","452808"
"2013","Other","1811463"
"2015","White","13837239"
"2015","Black","3454601"
"2015","Multiracial","477213"
"2015","Other","1885613"
"2017","White","13706039"
"2017","Black","3443385"
"2017","Multiracial","498262"
"2017","Other","1941886"
"2019","White","13546776"
"2019","Black","3421123"
"2019","Multiracial","515681"
"2019","Other","1969981"
"2022","White","13511585"
"2022","Black","3487045"
"2022","Multiracial","554383"
"2022","Other","2120187"
